Date,Type,Miles,Calories per Mile,Miles per Hour,Minutes per Mile,Average BPM,Beats per Mile
08/05/2024,Zone 2,4.54,103.5242291,4.54,13.21585903,Zone 2,1638.76652
08/06/2024,Interval,2.2,131.8181818,6.6,9.090909091,Interval,1336.363636
08/08/2024,Zone 2,3.13,108.6261981,4.695,12.77955272,Zone 2,1610.223642
08/11/2024,Long,6.2,135.483871,5.8125,10.32258065,Long,1548.387097
08/12/2024,Zone 2,3.27,101.529052,4.905,12.2324159,Zone 2,1565.749235
08/13/2024,Interval,2.19,120.5479452,6.57,9.132420091,Interval,1424.657534
08/15/2024,Negative Split,5,119,5.50125612,10.9066,Negative Split,1537.8306
08/17/2024,Long,13.1,151.0687023,5.909774436,10.15267176,Long,1604.122137
08/19/2024,Interval,2.41,115.7676349,7.23,8.298755187,Interval,1228.215768
08/20/2024,Zone 2,4.73,106.9767442,4.73,12.68498943,Zone 2,1623.678647
08/22/2024,Negative Split,5,137,5.683648144,10.5566,Negative Split,1583.49
08/25/2024,Long,15.1,142.8476821,5.592592593,10.72847682,Long,1620
08/27/2024,Interval,2.42,110.3305785,7.26,8.26446281,Interval,1264.46281
08/29/2024,Zone 2,4.75,105.2631579,4.75,12.63157895,Zone 2,1616.842105
08/30/2024,5k,3.1,111.6129032,6.99695294,8.57516129,5k,1294.849355
09/03/2024,Long,7.59,135.9683794,6.325,9.486166008,Long,1489.328063
09/09/2024,Zone 2,4.79,105.8455115,4.79,12.52609603,Zone 2,1615.866388
09/10/2024,Negative Split,5,105.8,5.895878781,10.1766,Negative Split,1384.0176
09/16/2024,Long,5,124,6.593406593,9.1,Long,1419.6
09/18/2024,Zone 2,4.8,99.79166667,4.8,12.5,Zone 2,1612.5
09/20/2024,Negative Split,5,129.4,6.009976561,9.9834,Negative Split,1487.5266
09/22/2024,Interval,2.47,105.2631579,7.41,8.097165992,Interval,1246.963563
09/23/2024,Long,9,131.8888889,6.75709495,8.879555556,Long,1429.608444
09/24/2024,5k,3.1,120.3225806,7.69135343,7.800967742,5k,1263.756774
09/25/2024,Zone 2,4.73,104.6511628,4.73,12.68498943,Zone 2,1636.363636
10/10/2024,Negative Split,5,118.8,6.318050671,9.4966,Negative Split,1414.9934
10/13/2024,Long,8,128.875,7.142857143,8.4,Long,1377.6
10/14/2024,5k,3.1,109.6774194,8.122270742,7.387096774,5k,1189.322581
10/15/2024,Negative Split,5,110.2,6.507592191,9.22,Negative Split,1355.34
10/19/2024,Long,10,123.2,7.228915663,8.3,Long,1377.8
10/23/2024,5k,3.1,107.0967742,8.493150685,7.064516129,5k,1144.451613
10/24/2024,Interval,2.48,118.1451613,7.44,8.064516129,Interval,1387.096774
10/27/2024,Negative Split,5,107.6,6.716367788,8.9334,Negative Split,1304.2764
10/31/2024,Zone 2,2.68,77.23880597,5.36,11.19402985,Zone 2,1365.671642
11/02/2024,Long,11,120,7.333333333,8.181818182,Long,1251.818182
11/05/2024,Interval,2.51,126.6932271,7.53,7.96812749,Interval,1266.932271
